'Aqida
Baqiya
Bid‘a
Dogma
Inghimasi
Ghanima
Ghulat
Hijra, Hidjra
Jahiliyya
Kharijites
Kuniya
Manhaj
Murjites
Muwahhidin
Nashid, Anashid
Rafidites, Rawafid, Rafd
Ribat
Sabaya
Salul
Taghut
Wilaya, Wilâyah
Addawlah al-islâmiyah
Ard al-kufr, Dar al-kufr
Bâqiyâ wa tatamaddad
Châm
Croisés, Crusaders, Assâlibiyyîn
Ghazwa, Ghazawât
Imâra
Jahiliyyah
Jihâd, djihâd
Harbî
Jizyah
Karfir
Khilâfa, Khilafah
Khâlifa, Khalifah
Malhama, Malâhim
Muchrik, Muchrikoûn, Muchrikîn
Muhâjirîn, mouhâjirîn, muhâjirât
Mujâhidîn, moujâhidîn, moudjâhidîn
Murtadd, Murtaddîn
Râfidhah
Shahîd, Shouhada, Shahâda
